Какое будущее предлагает?
Кораблики откуда курсируют?
Какую фототехнику использовали?
Лифт там был?
Поделитесь секретом успеха?
Отсюда детей приносят?
Не понимал почему?
Куда бы смотаться?
Куда она денется?
Это называют турбосолярием?
Фото будете выкладывать?
Сколько рюкзак весил?
Где найти инфу?
Может, Леванто?
Может, Оспедалетти?
Где камеры смотрите?
Или обычное дело?
Или не спрашивают?
Смотреть эмоциональные фильмы?
Да и просто гулять?
Продолжение сериала будет?
Где поставить рыбалку?
Где взять авиабилет?
Может этого достаточно?
Ну то есть простят?
Есть у кого?
Фонетика сильно поможет?
Есть такие фирмы?
Вы какую делали?
Или я мудрю?
Подскажите как реализовать?
Вы любите лотереи?
Что оставалось неизведанным?
В Венеции были?
Вам понравился рассказ?
Хочешь романский стиль?
Как бы выучиться?
Что за напасть?
Долго пришлось привыкать?
Или пошла бы?
Насколько сложно припарковаться?
Какие посоветуете отели?
Этого не было?
Есть ли Кемпинги?
Обратиться на сайт?
Факс присылал брони?
Может кто-нибудь посоветует?
Приедете - расскажете?
Сетубальские вина пробовали?
Какие проценты снимаются?
Собираетесь в Порту?
Что нам потребуется?
Есть ли фото?
Может кто сможет?
Никого не забыла?
Фотки кто-нибудь выложит?
Какие стоит посетить?
Искать мелкооптовый магазин?
А Ламего будет?
Что конкретно интересует?
Будут ли проблемы?
Есть вероятность отказа?
Верно я понял?
Куда лучше поехать?
Чем это регулируется?
Работают без выходных?
Посоветуйте как быть?
Ездил ли кто?
Или может вина?
Удалось или нет?
Поезда всегда опаздывают?
Как посоветуете поступить?
Сколько примерно стоит?
Можете посоветовать заведение?
Заправки принимают карты?
Может где прячутся?
Автостопом хочешь попутешествовать?
Есть ли инфа?
Ехать не передумали?
Где лучше тормознуться?
Может есть автобус?
Сколько можно простоять?
Кто-то там был?
Румынская виза есть?
Они по-русски понимают?
Кто-нибудь там останавливался?
Пытаться уговорить их?
Может это отменили?
Это сейчас действует?
Или нас пожалели?
По имейлу присылается?
Вы сколько платили?
Обманул, значит?
Где лучше остановиться?
Стоит он того?
Есть ли табло?
Автобусы были пунктуальны?
Были ли проблемы?
Вы его нашли?
Как получать визу?
Зачем придумали фотоаппарат?
Стоит туда заезжать?
Расписание знает кто-нибудь?
Что значит неохота?
Он действительно существует?
Начинать с себя?
Почему советуете объехать?
Были нехорошие ситуации?
Почему не пришло?
Может что подскажите?
Есть ли что-нибудь?
Есть ли карты?
Есть какие-то маршруты?
Что можно втиснуть?
Заехали или заедете?
Где пересекать границы?
Хорваты вроде отменили?
Может кому пригодится?
Что можно предпринять?
Что консул говорит?
Или пошлют нахер?
Гамзиград стоит посетить?
Может, напрасно?
А зачем рисовали?
Просрочек не было?
Пустят ли меня?
Значит можно успокоиться?
Что не получится?
Чего тогда спрашивать?
Имею однократную визу?
Стоит заморачиваться вообще?
Про продление расскажите?
Визы начали выдавать?
Никто не сталкивался?
Едете в Пенанг?
Сколько дней делают?
Покупать обратные билеты?
Вы уже продлили?
Новый бланк выдадут?
У вас получилось?
Таможенники так же смотрят?
Или пакетом едете?
Как привезти лемура?
Какой был налог?
Сколько дней шло?
Нафига везти колбасу?
На почте взвесят?
Или не поймут?
Жизнь дала трещину?
Но как разобрать?
Что будете делать?
Много желающих было?
Откуда посоветуете стартовать?
Есть ли очереди?
Вообще отменили сообщение?
Дня светового хватит?
Нас могут заселить?
Может кто-то помнит?
Что Вы мучаетесь?
Чем грозит неуплата?
Какие сайты посоветуете?
И есть ли?
Я почему спрашиваю?
Стоит ли рисковать?
Есть ли транспорт?
Сколько должно стоить?
Какие визы есть?
Стоит изменить маршрут?
Сколько стоила поездка?
Как оптимально добраться?
Давно так стало?
Для въезда покатит?
Это будет препятствием?
Бронь отеля требуется?
Пустят без визы?
Какой там напряг?
Считаются ли дни?
Есть какиенибудь новости?
Имеете причины сомневаться?
Работает эта фишка?
Югославии можно сделать?
Что лучше сделать?
Что могут спросить?
На монетах работают?
Что было утром?
Что я имею?
Вы там проезжали?
Мы же успеем?
Нормально принимали ее?
Что сказал заяц?
Ходит каждый день?
Ужинали на Скадарлии?
Мож устроить автопробег?
Подскажите как на самом деле?
Спрашиваю какого хрена?
Какие сорта посоветуете?
А машину арендовали?
Чего занимать место?
Как он вылез?
Как заказывали экскурсии?
Прилетаете в Сербию?
Какие чувства вызывает?
Работаете на Россию?
А где был?
Что тут делаю?
Может фото выложить?
Вас это удивляет?
Кто поправит меня?
Как бюджетно добираться?
А еще есть?
Скучно не будет?
Неужели такие есть?
Зачем просить кого-то?
Не преследуете цели?
Понравился ли город?
Сербским хорошо владеете?
А куда завернуть?
Теперь лучше стало?
На авто едите?
Думаете будет дешевле?
А откуда едете?
Что хотите посмотреть?
Во сколько порекомендуете ехать?
Какие бы порекомендовали?
Подскажите, соглашаться?
Как планируете передвигаться?
Это кто сказал?
Сильно порганцы допрашивают?
Ты так возил?
Отменять ли бронь?
Как добавить остальные?
Сейчас что-то изменилось?
Может кто поделится?
Заверять у нотариуса?
Как они догадаются?
Код где искать?
Может знает кто?
Лететь до Будапешта?
Как туда добираться?
А фотки покажете?
Можете сайт дать?
Почему не совершишь?
Что могу сказать?
Дежурила на шоссе?
Используете ли фильтры?
Кто знает наверняка?
Какие локации посоветуете?
Может сильно дешевле?
У Вас есть?
Как она делается?
Вы не были?
Как Вы съездили?
Сколько вас едет?
Может что-нибудь подскажете?
Или есть варианты?
Кто-нибудь там ездил?
Какой курорт посоветуете?
Не добрались туда?
Сотрудники говорят по-русски?
Или можно пропустить?
И понравилось ли?
А Полицейские видели?
Какой дорогой ехать?
Кто как понял?
В Питере бывали?
Может карту посмотреть?
Кто-нибудь уже записывался?
Питерские шопники перевелись?
Что посоветуете попробовать?
Что порекомендуете посмотреть?
Может отсюда начать?
Носки не забыли?
Может сдадите места?
А может Рукка?
17 штук говорите?
6 дней катались?
Финны не выпускают?
Хватит или нет?
Где купить бижутерию?
Знает кто места?
Посуше, потеплей?
Там есть такое?
Зачем туда-сюда кататься?
Кто-нибудь его покупал?
На цену влияет?
Какая будет интереснее?
Вам так дали?
Где поставить машину?
Там купаться можно?
Такое может быть?
Вы новости смотрите?
А снег обещаете?
Вам доводилось наблюдать?
Что еще интересует?
Можете что-нибудь рассказать?
Отсиживаем финскую визу?
Едим или едЕм?
Хотите столицу посмотреть?
Когда лучше ехать?
Вы утром прилетаете?
На пароме плавали?
Или взять машину?
А ночевали где?
И сколько стоят?
Могут быть проблемы?
Как дни считать?
А если доплатить?
Что значит умирает?
Все верно поняла?
Что его укоротили?
Никто не ездил?
Могут попросить документ?
Долго проходит выгрузка?
Мне хватает времени?
Может так лучше?
Может купить недорого?
Сколько приблизительно стоит?
Так часто нарушаете?
А вручили таможенники?
Может кто сталкивался?
Стоит ли верить?
Кто-нибудь так ездил?
Кто-нибудь получал визу?
Что мешает то?
Все равно могут придраться?
Как происходил процесс?
Кто получал недавно?
Откуда все это берете?
Там есть автостанция?
Как её найти?
Действительно могут отказать?
Есть ли шансы?
Есть ли секреты?
Или требуют ксерокопии?
Будут ли вопросы?
Как они указывают?
Сейчас изменилось что-то?
Почему плодить посредников?
Могут ли отвернуть?
Не будет проблем?
Вы как летите?
Когда подавать документы?
Тоже новые правила?
Или не успеет?
Стоит ли соваться?
Застрял в Стокгольме?
Почему так получилось?
Не показался многолюдным?
Что мы делали?
Чего не достает?
Что не сплавились?
Это поможет следствию?
Или скидки были?
Какой коттедж брали?
И кто гудел?
А продукты есть?
Как его читать?
Почему так назвали?
Что послужило причиной?
Какие сувениры купили?
Дошла уже открытка?
Ну вы понимаете?
Что мне понравилось?
Или невнимательно смотрела?
Сколько стоила квартира?
Одел и пошёл?
Только один день?
И фильм есть?
Что это напоминает?
Я сплю?
Какая была погода?
Как люди живут?
Почему выбрали Леви?
Эксклюзивный паром брали?
Может, заночуем?
Неужели финны выгоняют?
Но как живут?
КАк заказать нужный?
Может не сезон?
Может посоветуете что-то?
Найдем там место?
И гости тоже?
Что есть бюджетный?
Это когда было?
Думаете через Брусничное?
Может сдаёт кто?
Можете что-нибудь порекомендовать?
А тут бывали?
Хозяева не обманули?
Может кто оплачивал?
Какие варианты есть?
Снять отдельные номера?
Вы когда едите?
Что предполагаете посетить?
В воскресенье работают?
И Лидл есть?
Есть ли результаты?
Как быть тогда?
Где лучше закупиться?
И куда писать?
По времени успею?
Кто-нибудь там был?
Вы какой рекомендуете?
Когда лучше покупать?
Сколько стоит симка?
А еще будет?
Стоит ли торговаться?
Где варят пиво?
Вы им пользовались?
Ментон стоит рассматривать?
Стоит рассмотреть его?
Можно ли купаться?
Давно ли живете?
Есть ли рядом?
Туда стоит подниматься?
Гугль карты забанили?
Где лучше припарковаться?
Не мешает ли?
Как их различить?
А вы собираетесь?
Поменялось что ли?
Что-нибудь еще подскажете?
Кто-нибудь ввозил уже?
Сколько это стоило?
А есть альтернативы?
Есть ли альтернативы?
Альтернативные варианты рассматриваются?
Поехать в Лион?
Только что смотреть то?
Вы уже побывали?
Кто-нибудь может поделиться?
Как высылают подтверждение?
Еще не продали?
Можно ли торговаться?
Что посоветуете посмотреть?
Что еще упустили?
Ничего не изменилось?
Где лучше базироваться?
Что вообще делать?
Куда направиться конкретно?
Ещё есть что-то?
Или все-таки пролетаю?
Как называется кемпинг?
Что еще предложите?
Какую экскурсию порекомендуете?
Может лучше Монпорнас?
Как работает метро?
Сколько времени закладывать?
Ехать ради замка?
Как спланировать оптимально?
4 дней хватит?
Кто так сказал?
Ненасыщенно, говорите?
Никто не подскажет?
Стоит сделать так?
Кто ж знает?
Почему пропускаете Монако?
Что еще расскажите?
Можете дать контакты?
Где я просчиталась?
Думаешь, легче?
Может изменить маршрут?
Что посмотреть обязательно?
Канкаль не интересует?
Может, автобусом?
Кто-нибудь там бывал?
Что там смотреть?
Может где-то поездом?
Эффект будет заметен?
Подскажите по времени?
Они нам пригодятся?
Были какие-то объявления?
Можно места выбирать?
Где найти принтер?
Сколько стоит час?
Вопрос как забронировать?
Как узнать стоимость?
Но успеем ли?
Какой Пасс купить?
Удалось ли разобраться?
Кто-то недельным пользовался?
Проехать мимо достопримечательности?
Еще не вернули?
Он уже закончился?
Они работают круглосуточно?
Есть ли бесплатные?
Кто-нибудь им пользовался?
Есть такой сервис?
Никто не победил?
Или менять рейсы?
Такой и есть?
Какие есть риски?
Почему не платил?
Ориентиры есть какие-то?
И как добираться?
Как оптимальней добраться?
Есть какой-нибудь сайт?
Это был сарказм?
Стоит ли посетить?
Чем тут занимался?
Может автобус есть?
Поезда сильно опаздывают?
Волноваться о чем?
Подскажите как оплатить?
Как еще подтверждать?
Пранкеров было несколько?
Что имеется ввиду?
Как быть?
Долго рассматривали апелляцию?
Примут или нет?
Так проще позвонить?
Итальянская станет недействительной?
Может брони сделаете?
Что делать сейчас?
Как запрашивать ревизию?
Можно адрес поменять?
От кого слышали?
Что значит наплевали?
Приняли без вопросов?
Может ктонить подтвердить?
Пройдет наше согласие?
Само собеседование было?
Кто-то здесь делал?
Как лучше сделать?
Где оформлять визу?
Анкету он заполнял?
Где форму брать?
Что изменилось?
Никто не едет?
Как искать документы?
В ВЦ были?
Визу французскую получаете?
Думаете, поверят?
Или только пугают?
И были правы?
Они имели основания?
Может что-то изменилось?
Список документов читали?
Изменится пакет документов?
Какой анкетой пользоваться?
Чего теперь ждать?
Съездили по визе?
Почему должны пустить?
Какие аргументы приводили?
Что еще забыла?
Как туда добирались?
А вы видите?
Можно спросить совета?
Верите в такое?
Что ещё забыл?
Или почти все?
Кто они будут?
Смешно, скажете?
Мы как привыкли?
Автобус туда едет?
Это можно есть?
Заглянем в витрины?
Вы вместе учились?
Как вам показалось?
Ещё расскажете что-нибудь?
Полина продолжила танцевать?
Куда гринписовцы смотрят?
Что значит конфузно?
Арабы не достают?
Я не опоздала?
Где брать время?
Вы придете еще?
А желания сбываются?
Не могу найти?
Как так вышло?
Где начинается потолок?
Нафига, спрашивается?
Какие были стены?
Тоскует по родине?
Помните эту парочку?
Вы были там?
И что купить?
Видите сколько народу?
За что сняли?
Она спросила какого?
КАК СЮДА ДОЕХАТЬ?
Не началось еще?
Не прогонят гостей?
Почему задевает то?
Что не ценят?
Чем порадовала Бретань?
Надо что-то подправить?
Чем тебя кормят?
Или даму присматриваешь?
Работает ли он?
Куда бы податься?
Кишечной палочки побаивались?
Справится ли Таисия?
Ты не устала?
Бунгало свободные имеются?
Не мерзли ли?
Где остановиться лучше?
Как скоро закончите?
Или опережаю события?
Поедем в Париж?
Уточните сроки поездки?
Как он назывался?
Требовался ли задаток?
Откуда он отправляется?
Вы заранее готовились?
Куда же выбраться?
Дэна Брауна любите?
Насколько это соблюдается?
Вы сами пробовали?
Красота спасет мир?
Девать их некуда?
Что тянет так?
На двоих хватит?
Вы спросите что?
А слова будут?
Ему есть памятники?
Надеюсь, понятно?
Можно я добавлю?
Где лучше поселится?
На чем сэкономить?
А когда разблокируют?
Или только рассмотрели?
Как переводили задаток?
Ссылки не осталось?
Вы не спрашивали?
Кто сможет помочь?
А если посмотреть?
Есть какие посоветовать?
Есть специализированные кафе?
Такое вообще существует?
Вкусно кормят?
Как енто пишется?
Зачем нарушать традиции?
Может кто-нибудь подскажет?
Какое шоу выбрать?
Купить или съесть?
А что настораживает?
Какие предложения будут?
Есть чем поделиться?
Может Латинский квартал?
Посоветуйте куда податься?
Как часто ходят?
Кто сталкивался?
Есть какие-нибудь варианты?
Как лучше покупать?
Есть ли особенности?
Где стоит питаться?
Что делали вечером?
Уже забронировали Тинь?
Еще кто подскажет?
Что там искать?
Сколько стоит жилье?
Что значит легкие?
Как вы передвигались?
Как лучше добраться?
Чартеров не бывает?
Откуда Вы приехали?
Может знаете что-нибудь?
Может они оценят?
Или строчите анонимки?
Что ей мешает?
Как происходит депортация?
Кто-нибудь отдыхал там?
Вы когда летите?
Как начался отдых?
Почему не ехать?
Посоветуйте где остановиться?
Кукуруза выгодно получается?
И как общаться?
Сколько стоил паром?
Или не получится?
Могут эвакуировать авто?
Или есть особенности?
Где они скапливаются?
В Задар прилетаете?
Насколько стало дороже?
Или бронировал напрямую?
Может что-то посоветуете?
Может 4 дня?
Сколько стоит билет?
Может зря стараюсь?
Где порекомендуете останавливаться?
Реально ли сэкономить?
А такое рассматривали?
Что посмотреть советуете?
Работают ли рынки?
Как снимать апартаменты?
Куда посоветуете отправиться?
Что говорит опыт?
Есть конкретные рекомендации?
Что значит хорошее?
Что тут выбрать?
Передвигаться как будете?
С местом определились?
А если надоест?
Или не дойдем?
Но где сдавать?
А как поедете?
Сильно не приемлете?
Ну почему удивил?
Не перетираются впечатления?
Погулять - отдохнуть?
Можно ему верить?
А где заночевать?
Может быть это?
Что собой представляет?
Кому вы рассказываете?
Посоветуйте какую-нибудь конторку?
Есть такой опыт?
Не получится так?
Он еще существует?
А откуда уезжаете?
Вы читали внимательно?
Или пробки бывают?
В саноторий написали?
Есть ли паром?
Точно ежечасно ходит?
На чем ехать?
Быть может поезд?
Какой страны брать?
Или следует подождать?
Как правильно сделать?
Мож Гугл переведет?
Может так сделать?
Правильно мыслю?
Так впустят Хорваты?
Я так понял?
Где взять Шенген?
А вдруг пригодиться?
Исключение из правил?
Откуда это следует?
Вы не уточняли?
Продлят, отменят?
Считаются для чего?
Вероятность облома есть?
Может кто-то подсказать?
Может машина понравилась?
Может тунца заказали?
Так зачем грустить?
Представляете их рожи?
Пройдет ли коляска?
Ну что скажешь?
Кто-то видит цены?
Как все было?
Кто ж знал?
Куда поедем мы?
Совмещали с Регатой?
Вы там жили?
Захотела дольче вита?
На что ловили?
Поедем ли еще?
И чем кончилось?
Какие курорты смотреть?
Может кому нужны?
Чего Вы тянете?
Как не посочувствовать?
Там евро принимают?
Что есть рядом?
Развели или нет?
Какой город посоветуете?
Кто скажет правду?
Перепад высот учитываете?
Куда порекомендуете съездить?
Где бы узнать?
Кто-нибудь это практиковал?
Можно фото увидеть?
То есть понырять неоткуда?
А предлагают где?
Всё работает уже?
Успеем все посмотреть?
Какой город выбрать?
Русские права подойдут?
Появился прямой автобус?
Где лучше пересаживаться?
Несколько вопросов задать?
Есть ли автобусы?
Где покупали экскурсию?
Жилье уже есть?
Что туда входит?
Где заказывать такси?
На что рассчитывать?
Улцинь сознательно отбросили?
Что там посмотреть?
Какого оператора выбрать?
Оно того стоит?
Хватит ли дня?
Как подобрать экскурсии?
Как не проходит?
Может местные подскажут?
Как вам понравилось?
Зачем пугаете проблемами?
Остановки там объявляют?
Он часто ходит?
Где искать стойку?
Как лучше перебраться?
Может на пароме?
В евро взял?
Где лучше ловить?
Может, пешком?
Возможно есть альтернатива?
Какую компанию посоветуете?
Как ее реализовать?
Давно это было?
Есть кто ещё?
Может какие-то лоукостеры?
Ими можно пользоваться?
Или проще отмести?
На тебя гавкнули?
ТС продолжение будет?
Что больше понравилось?
Может обменяемся контактами?
Могут ли придраться?
Что надо учесть?
Как оформить визу?
Какие будут замечания?
Дорога того стоит?
Может птичий грипп?
Можно немножко добавить?
Правильно я поняла?
Заказывали на месте?
Вы брали карту?
Как выбрать прокатчика?
Уфф, отдышались?
Русский язык присутствует?
Может есть велодорожки?
Может я придираюсь?
Как не боятся?
Ну вы слыхали?
Что Вы ищете?
Может, прокатимся?
Дурмитор разве что посетить?
Где находится Черногория?
Где больше понравилось?
Какое резюме подвести?
Куда все подевалось?
Что сколько стоит?
Куда можно поехать?
Ее разве закрывают?
Помните это здание?
Где ещё были?
Или будут проблемы?
Ночью они идут?
Может настучать модетатору?
Не так считаю?
Как тут подскажешь?
Наличкой может надежнее?
Стоит туда ехать?
А зачем париться?
Что обязательно посетить?
Есть ли вообще?
Где там жить?
Можно я отвечу?
Костница сейчас работает?
Адрес проживания стоял?
А где покушать?
Не устанут ли?
Какого провайдера посоветуете?
А почему заменить?
Неужели не стоит?
Там тепло будет?
Просто сумму назвать?
Адресами не поделитесь?
Или заменить Дрезден?
Температуру там меряют?
А где договариваться?
Вы скачивали Навигон?
А немцы присутствовали?
Посоветуете что-то ещё?
Кто-нибудь бывал там?
Где лучше пообедать?
Летите из России?
Где остановиться стоит?
Где билеты брать?
Не знаете случайно?
Как прошла поездка?
Есть ли прямой?
Кто так катался?
Может, полчаса?
Не поместитесь втроем?
Это имеет место?
Где смотреть расписание?
Какой маршрут порекомендуете?
Побывать везде проездом?
Едете в Дрезден?
Что-то еще пропустил?
Где оставить машину?
Или мучение будет?
Не замотаемся ли?
Зачем тогда ездить?
А хотите четыре?
Вы сейчас хотите?
Игра стОит свечь?
Не заблудимся ли?
Вы когда собираетесь?
Сколько стоят билеты?
И стоит ли?
Поезда не рассматриваете?
Менять в кассе?
Все ли получилось?
Есть ли нюансы?
Там есть вокзал?
Кто-то ими пользовался?
Есть такие автобусы?
Билеты нужно распечатать?
Сколько надо топать?
Вобщем поделитесь мнением?
Как думаете прокатит?
Как отредактировать бронь?
Блоки перестали закупать?
Помогите, как?
14 минут хватит?
Запутать иностранца хотят?
Есть идеи?
Может это угорь?
Может рыба какая?
Понравилось ли нам?
Какие шаги предпринять?
Чем лучше ехать?
Как её воспринимать?
Есть такая вероятность?
Какой адрес указывать?
Я почему предложил?
Чем дело закончилось?
Вы получили визу?
Сколько должны заплатить?
Визу уже получили?
Получал кто-нибудь отказы?
У букиниста брали?
Как должно выглядеть?
Прошли такие сканы?
Бронирование было оплачено?
Пойдет или нет?
Что сообщает ВЦ?
И что поменялось?
Все равно могут стукануть?
Планируешь ли остаться?
Есть свежая информация?
Как их информировать?
И что дали?
Что мешает сделать?
А смысл бежать?
Где ставить галку?
На хоккей едете?
Выпустят в Домодедово?
Бывали ли прецеденты?
Кому нужно врать?
Устраивает такой вариант?
Как сделать визу?
Так проще будет?
Что хочу добавить?
А если ошибешься?
Давайте по порядку?
Неужели я пропустила?
Итак, идем?
Видите темненькую полосу?
Видите крышу слева?
Составите компанию принцессам?
Пойдемте в замок?
Итак, едем?
Вы меня простите?
Поглазеем по сторонам?
Что я пропустила?
А свистеть умеешь?
Два дня хватит?
Не устает спина?
Где подписывать чек?
Куда ее деть?
Мож чет подскажете?
Может, заглянем?
А Зноймо будет?
Что там рассказывать?
А заказывали мясо?
А Вы меняли?
Зачем же рисковать?
Неужели не соблазнились?
И как называется?
Добирались на автобусе?
Может глюк какой?
Градусы напиток содержит?
Где копим йижденку?
Чего стоит пробовать?
Только что это меняет?
Что осталось неохваченным?
А дышать чем?
Удалить тему возможно?
Как организуется лечение?
А как бронировали?
Есть у кого-нибудь?
Может снять бронь?
Морочиться или нет?
А чем фотографируете?
Хочешь вкусно поесть?
Не попадалось никому?
Где там перекусить?
Или уже списалась?
Может посоветуете салоны?
Подскажите где найти?
Может ссылка есть?
Там дают попробовать?
При входе сказать?
Есть такие места?
Встречались такие магазинчики?
Как определяют туриста?
Ответить на что?
Обязан, понимаете?
Где находится Швейцария?
Менять на что?
Или пообтрепалось все?
Или ждать утра?
Вроде правильно спросил?
Где менять деньги?
Или искать обменник?
А лифт есть?
Перевал будет открыт?
Сколько часов планировать?
Где лучше купить?
Что теперь выбрать?
Можете посоветовать конкретную?
Торгуются или нет?
Как его ник?
Что значит особых?
Едите на чем?
Вот получится ли?
Кандерштег мимо проезжаете?
Посоветуете населенный пункт?
Мае Риемп может?
Где бы выяснить?
Какое число получилось?
Они должны совпадать?
Вы меня порицаете?
Про Пукет будет?
Сколько стоили билеты?
А можете поделиться?
И заночевать там?
Лежит ли снег?
Не улетела бы?
Их кто-то спрашивает?
Тут такие есть?
Поздно уже советовать?
Будете без машины?
Сколько кг приобрел?
Чем дело кончилось?
Стоит так сделать?
Так я понял?
А Тун стоит?
Реально все это успеть?
Походить, погулять?
Шильтхорн больше впечатляет?
Вы так же добирались?
Что стоит добавить?
Неужели так напугала?
Говорите совсем холодно?
Что я упустила?
Не скажут доплачивать?
Подскажите проверенные сайты?
Эту ссылку смотрели?
Что значит невыезд?
Прокатит ли такое?
Как добраться куда?
Где продаются билеты?
Стоимость будет расти?
Как ходит скибас?
Как долго ехать?
Далеко там идти?
А может так?
Как всё прошло?
Есть последние данные?
Не придерутся ли?
Кто чего подскажет?
Как получить визу?
Кто вам нахамил?
Или есть что-то?
Спросите – почему?
Есть ли экскурсии?
Сколько все стоит?
Существуют ли противопоказания?
Простите можно вопросик?
Так ходят там?
А салют был?
Вы чувствуете гордость?
Что сразу поражает?
Где найти информацию?
Студенты сеяли цветочки?
Это начало октября?
А откуда стартовали?
А как уйти?
Может все вместе?
А фотки будут?
Представляете себе такое?
Я не пропаду?
Неужели не будет?
Подкалываете что ли?
Вы разницу понимаете?
Или вы хохмите?
Платите Вы сами?
Как страховку оформлять?
Как ТО оформлять?
Что можно провозить?
Какой погранпереход выбрать?
Где менять валюту?
Что точно забыл?
Накануне можно купить?
Адрес бабушки есть?
Автобус не рассматриваете?
Это что означает?
Вы Лиго отмечаете?
Не подскажите адресок?
Тут метеорологи собрались?
Вы верите МТС?
Есть такая кухня?
Может расскажете подробнее?
Что есть Двина?
Телефоны не подскажете?
Чтобы Вы выбрали?
Почему не получится?
Я сгущаю краски?
Чего теперь вспоминать?
Название медучреждения раскроете?
Были уже там?
Может кто-то разъяснить?
Нравилось орган слушать?
И где жили?
Они нормально дают?
Хотели конструктивного совета?
Что больше всего интересует?
Есть какая-нибудь карта?
Какие варианты нашли?
Может тогда Рига?
Вы не смотрели?
Ходил ли кто?
Есть еще что-то?
Может рано еще?
Есть положительный опыт?
Есть шанс найти?
Что-то значимое упустила?
Хаапсалу уже советовали?
Автобус прибывает вовремя?
Временные мерки совпали?
Разрешат или нет?
Или есть приоритетнось?
И что смущает?
Писать отчет будете?
Может за неделю?
Есть что посмотреть?
Билет уже купили?
Как называется вино?
Где оставлять велосипед?
Автомат легко купить?
Может мне повезло?
Или посмотреть фотки?
Есть ли такие?
Опять заглохло всё?
Сколько может занять?
В рабочий день?
Кто недавно ездил?
До сих пор всё работает?
Я верно думаю?
Вы все еще едете?
Ситуация не изменилась?
Что за правила?
Что нужно иметь?
Может банкомат есть?
Может нужны кому?
Что говорит статистика?
Как Вы планируете?
Почему кузнечик стрекочет?
Какой лучше выбрать?
Какие впечатления остались?
Как забронировать отель?
Есть ли минусы?
Какие пляжи понравились?
Вообще бывает такое?
Всё верно усвоил?
Есть ли они?
Вас же встречают?
Где меньше стоять?
Какие последствия ожидать?
Как получилось съездить?
Как всё происходит?
Есть ли заморочки?
Как долго идти?
Какие есть проблемы?
Куда лучше поплыть?
Кто спрашивает ПТС?
А чем мотивировали?
Кто последний ездил?
Кто-нибудь самостоятельно получал?
Вы вопрос читали?
Пробивают бронь билета?
И кому верить?
Не аннулируют латыши?
Есть ли альтернатива?
Что здесь указывать?
Вы им писали?
За слова отвечаете?
Или так ляпнуть?
Кто-нибудь так делал?
КАКУЮ ВЕТКУ ПОСМОТРЕТЬ?
Или не ждать?
Кто-нибудь извещал консульство?
В Вильнюсе бываете?
Смотрят ли Белорусы?
Может лучше паромом?
